Node,Label,Type,In_Degree,Out_Degree,In_Strength_WeightSum,Out_Strength_WeightSum,DegreeCentrality,BetweennessCentrality,ClosenessCentrality_Undirected,EigenvectorCentrality,PageRank
library_london_getty,Private Collection J. Paul Getty Jr.,library,1,0,1.0,0.0,0.00819672131147541,0.0,0.35988200589970504,9.756420397990612e-12,0.005836723325461697
library_cambridge_ul,University Library,library,2,0,2.0,0.0,0.01639344262295082,0.0,0.270509977827051,4.4001455994937735e-09,0.012634797979665394
library_leuven,University Library,library,1,0,1.0,0.0,0.00819672131147541,0.0,0.35988200589970504,9.756420397990612e-12,0.005836723325461697
library_paris_arsenal,Bibliothèque de l’Arsenal,library,1,0,1.0,0.0,0.00819672131147541,0.0,0.24897959183673468,4.390400007531296e-09,0.008238363559006184
library_valenciennes,Bibliothèque municipale,library,1,0,1.0,0.0,0.00819672131147541,0.0,0.26695842450765866,4.390400007531296e-09,0.007401080356949608
library_kues,Hospitalbibliothek,library,2,0,1.0,0.0,0.01639344262295082,0.0,0.3641791044776119,2.200078213964642e-09,0.006696516363962989
library_regensburg,Staatliche Bibliothek,library,1,0,0.2,0.0,0.00819672131147541,0.0,0.28773584905660377,0.13642116087126932,0.006488788584888446
library_dresden,Sächsische Landesbibliothek – Staats- und Universitätsbibliothek,library,2,0,2.0,0.0,0.01639344262295082,0.0,0.3288409703504043,0.00019999538204352525,0.008230843452051394
library_oxford_bodleian,Bodleian Library,library,2,0,2.0,0.0,0.01639344262295082,0.0,0.3609467455621302,4.4001455994937735e-09,0.010797975102578006
library_berlin,Staatsbibliothek Preussischer Kulturbesitz,library,5,0,3.5,0.0,0.04098360655737705,0.0,0.3160621761658031,0.6821806420180221,0.01956798179757955
library_vatican,Biblioteca Apostolica Vaticana,library,11,0,5.5,0.0,0.09016393442622951,0.0,0.47470817120622566,0.004617778257808011,0.018230975829783343
library_jena,Thüringer Universitäts- und Landesbibliothek,library,1,0,1.0,0.0,0.00819672131147541,0.0,0.2747747747747748,6.644073671356133e-07,0.008353350759290414
library_gniezo,Biblioteka Kapitulna,library,1,0,1.0,0.0,0.00819672131147541,0.0,0.28110599078341014,4.390400007531296e-09,0.006300651005675249
library_zurich_zentral,Zentralbibliothek,library,2,0,2.0,0.0,0.01639344262295082,0.0,0.32972972972972975,0.009083013778588262,0.009335932789156592
library_london_bl,British Library,library,4,0,3.5,0.0,0.03278688524590164,0.0,0.39228295819935693,8.795407574570785e-09,0.01376239971359092
library_schaffhausen,Stadtbibliothek,library,2,0,2.0,0.0,0.01639344262295082,0.0,0.3824451410658307,0.00908301377858826,0.007823615287021312
library_dublin_ria,Royal Irish Academy,library,2,0,2.0,0.0,0.01639344262295082,0.0,0.3609467455621302,4.4001455994937735e-09,0.00831734921401985
